"code","language","app_name","app_introduction","app_details","new_version_introduction"
"en","English","Pumpfoil","Pump foil recorder for pumpfoil.org","Pumpfoil turns your watch into a recorder for pump foiling. It records your GPS track, your heart rate and the motion of your arm, then sends everything to pumpfoil.org, where your runs, pumps and glide phases are detected automatically.

While you ride you see speed, heart rate and pump cadence — as numbers or as bars, in the colours of your own zones. A touch lock stops splashes from changing anything. Recordings stay on the watch until they have been transferred, so a lost connection costs you nothing.

Free, no advertising, no tracking.

Feedback: info@pumpfoil.org","Fixed: a button press or a swipe could close the app and end your recording."
"de","German","Pumpfoil","Pumpfoil-Recorder für pumpfoil.org","Pumpfoil macht deine Uhr zum Aufnahmegerät fürs Pumpfoilen. Sie zeichnet GPS-Spur, Puls und die Bewegung deines Arms auf und schickt alles an pumpfoil.org, wo Läufe, Pumps und Gleitphasen automatisch erkannt werden.

Während der Fahrt siehst du Tempo, Puls und Pump-Kadenz — als Zahl oder als Balken, in den Farben deiner eigenen Zonen. Eine Touch-Sperre verhindert, dass Spritzwasser etwas verstellt. Aufnahmen bleiben auf der Uhr, bis sie übertragen sind; eine abgerissene Verbindung kostet dich also nichts.

Kostenlos, ohne Werbung, ohne Tracking.

Feedback: info@pumpfoil.org","Behoben: Tastendruck oder Wischen konnte die App und damit die Aufnahme beenden."
"gsw","Swiss German","Pumpfoil","Pumpfoil-Recorder für pumpfoil.org","Pumpfoil macht dini Uhr zum Ufnahmgrät fürs Pumpfoile. Si zeichnet GPS-Spur, Puls und d Bewegig vo dim Arm uf und schickt alles a pumpfoil.org, wo Läuf, Pumps und Gleitphase automatisch erkennt werded.

Während de Fahrt gsehsch Tempo, Puls und Pump-Kadänz — als Zahl oder als Balke, i de Farbe vo dine eigene Zone. E Touch-Sperr verhinderet, dass Spritzwasser öppis verstellt. Ufnahme bliibed uf de Uhr, bis si übertreit sind; e abgrissni Verbindig choschtet di also nüt.

Gratis, ohni Werbig, ohni Tracking.

Feedback: info@pumpfoil.org","Gflickt: en Tastedruck oder Wüsche hät d App und damit d Ufnahm chöne beände."
"de-AT","Austrian German","Pumpfoil","Pumpfoil-Recorder für pumpfoil.org","Pumpfoil macht deine Uhr zum Aufnahmegerät fürs Pumpfoilen. Sie zeichnet GPS-Spur, Puls und die Bewegung deines Arms auf und schickt alles an pumpfoil.org, wo Läufe, Pumps und Gleitphasen automatisch erkannt werden.

Während der Fahrt siehst du Tempo, Puls und Pump-Kadenz — als Zahl oder als Balken, in den Farben deiner eigenen Zonen. Eine Touch-Sperre verhindert, dass Spritzwasser etwas verstellt. Aufnahmen bleiben auf der Uhr, bis sie übertragen sind; eine abgerissene Verbindung kostet dich also nix.

Kostenlos, ohne Werbung, ohne Tracking.

Feedback: info@pumpfoil.org","Behoben: Tastendruck oder Wischen konnte die App und damit die Aufnahme beenden."
"fr","French","Pumpfoil","Enregistreur pump foil, pumpfoil.org","Pumpfoil transforme ta montre en enregistreur pour le pump foil. Elle enregistre ta trace GPS, ton cardio et le mouvement de ton bras, puis envoie tout à pumpfoil.org, où les runs, les pumps et les phases de glisse sont détectés automatiquement.

Pendant la session tu vois vitesse, cardio et cadence de pump, en chiffres ou en barres, aux couleurs de tes zones. Un verrouillage tactile empêche les éclaboussures de tout dérégler. Les enregistrements restent sur la montre jusqu'au transfert : une connexion perdue ne coûte rien.

Gratuit, sans publicité, sans traçage.

Contact : info@pumpfoil.org","Corrigé : un appui ou un geste pouvait fermer l'app et arrêter l'enregistrement."
"it","Italian","Pumpfoil","Registratore pump foil, pumpfoil.org","Pumpfoil trasforma il tuo orologio in un registratore per il pump foil. Registra la traccia GPS, il battito e il movimento del braccio, poi manda tutto a pumpfoil.org, dove run, pump e fasi di planata vengono riconosciuti automaticamente.

Mentre navighi vedi velocità, battito e cadenza di pump — come numeri o come barre, nei colori delle tue zone. Il blocco touch impedisce che gli schizzi cambino qualcosa. Le registrazioni restano sull'orologio finché non sono trasferite: una connessione persa non ti costa nulla.

Gratis, senza pubblicità, senza tracciamento.

Contatti: info@pumpfoil.org","Risolto: un tasto o uno swipe poteva chiudere l'app e fermare la registrazione."
"es","Spanish","Pumpfoil","Grabadora pump foil, pumpfoil.org","Pumpfoil convierte tu reloj en una grabadora para pump foil. Registra tu traza GPS, tu frecuencia cardiaca y el movimiento del brazo, y lo envía todo a pumpfoil.org, donde los runs, los pumps y las fases de planeo se detectan automáticamente.

Mientras navegas ves velocidad, pulso y cadencia de pump — en números o en barras, con los colores de tus propias zonas. El bloqueo táctil evita que las salpicaduras cambien algo. Las grabaciones se quedan en el reloj hasta transferirse: perder la conexión no te cuesta nada.

Gratis, sin publicidad, sin rastreo.

Contacto: info@pumpfoil.org","Corregido: un botón o un gesto podía cerrar la app y terminar la grabación."
"pt","Portuguese","Pumpfoil","Gravador de pump foil, pumpfoil.org","O Pumpfoil transforma seu relógio num gravador para pump foil. Ele registra o traçado GPS, os batimentos e o movimento do braço, e manda tudo para pumpfoil.org, onde runs, pumps e fases de planeio são reconhecidos automaticamente.

Enquanto você navega vê velocidade, batimentos e cadência de pump — em números ou em barras, nas cores das suas zonas. O bloqueio de toque impede que respingos mudem alguma coisa. As gravações ficam no relógio até serem transferidas: perder a conexão não custa nada.

Grátis, sem publicidade, sem rastreamento.

Contato: info@pumpfoil.org","Corrigido: um botão ou gesto podia fechar o app e encerrar a gravação."
"id","Indonesian","Pumpfoil","Perekam pump foil, pumpfoil.org","Pumpfoil mengubah jam tanganmu menjadi perekam untuk pump foil. Ia merekam jalur GPS, detak jantung, dan gerakan lenganmu, lalu mengirim semuanya ke pumpfoil.org, tempat run, pump, dan fase meluncur dikenali otomatis.

Selama bermain kamu melihat kecepatan, detak jantung, dan irama pump — sebagai angka atau batang, dengan warna zonamu sendiri. Kunci layar sentuh mencegah cipratan air mengubah apa pun. Rekaman tetap tersimpan di jam sampai terkirim, jadi koneksi yang putus tidak merugikanmu.

Gratis, tanpa iklan, tanpa pelacakan.

Masukan: info@pumpfoil.org","Diperbaiki: tombol atau usapan bisa menutup aplikasi dan menghentikan rekaman."
"ru","Russian","Pumpfoil","Регистратор пампфойла, pumpfoil.org","Pumpfoil превращает часы в регистратор для пампфойла. Они записывают GPS-трек, пульс и движение руки, а затем отправляют всё на pumpfoil.org, где заезды, пампы и фазы планирования распознаются автоматически.

Во время катания видно скорость, пульс и темп пампов — цифрами или столбиками, в цветах твоих собственных зон. Блокировка касаний не даёт брызгам ничего сбить. Записи остаются на часах, пока не будут переданы, поэтому потеря связи ничего не стоит.

Бесплатно, без рекламы, без слежки.

Обратная связь: info@pumpfoil.org","Исправлено: кнопка или свайп могли закрыть приложение и прервать запись."
